seller_level,buying_review_rating,count,seller_country,seller_name,is_fiverr_choice,pos,buying_review_rating_count,is_pro,price_i,isPro,score
LEVEL_TWO,5,196,PK,yasirahmas,False,830,292,,30,False,5
LEVEL_TWO,4.9,83,PK,pro_webdesiner,False,831,122,,100,False,4.9
LEVEL_TWO,4.9,85,BD,jahidulwd,False,832,153,,30,False,4.9
LEVEL_TWO,4.9,223,BD,jabedbhuiyan,False,833,321,,30,False,4.9
LEVEL_TWO,4.9,7,PK,ibtisamarif,False,834,7,,60,False,4.9
LEVEL_TRS,4.9,649,PK,herosolutions,False,835,1043,,135,False,4.9
LEVEL_TWO,5,364,PK,tahir_jr,False,836,467,,15,False,5
LEVEL_TWO,4.9,42,PK,qasimyasin0013,False,837,46,,10,False,4.9
LEVEL_TWO,5,304,BD,shohan_hossain,False,838,406,,30,False,5
LEVEL_ONE,4.9,850,PK,tanveer__ahmed,False,839,1096,,100,False,4.9
LEVEL_TWO,4.9,141,BD,xpresseditor,False,840,230,,80,False,4.9
LEVEL_TWO,4.8,17,BD,mosharrof_rimon,False,841,19,,50,False,4.8
LEVEL_TRS,5,938,PK,wordpressi,False,842,1311,,50,False,5
LEVEL_TRS,5,269,PK,computrenginear,False,843,416,,30,False,5
LEVEL_TRS,5,289,PK,yasirz3325,False,844,366,,30,False,5
LEVEL_TRS,5,64,GB,ingaland,False,845,90,,500,True,5
LEVEL_TWO,5,414,BD,rajibbarua_exp,False,846,507,,10,False,5
LEVEL_TRS,5,3,BD,creativework007,False,847,5,,150,False,5
LEVEL_TWO,4.9,130,BD,rh_rakibul,False,848,142,,15,False,4.9
LEVEL_TWO,5,249,PK,asadalitahir1,False,849,357,,30,False,5
LEVEL_TWO,4.7,277,BD,shopify_zahin,False,850,429,,30,False,4.7
LEVEL_TWO,4.9,106,PK,sufidigitals,False,851,133,,10,False,4.9
LEVEL_TWO,5,34,BD,rank_champ,False,852,56,,55,False,5
LEVEL_TWO,5,656,PK,wahajmansoor,False,853,918,,45,False,5
LEVEL_TWO,5,66,BD,shahrukapp,False,854,91,,130,False,5
LEVEL_TRS,5,523,PK,fatimakniazi,False,855,820,,90,False,5
LEVEL_TRS,5,1109,PH,cookieszxc,False,856,1811,,25,False,5
LEVEL_TWO,5,87,PK,katemag,False,857,109,,10,False,5
LEVEL_ONE,5,22,BD,itsakash2k,False,858,30,,25,False,5
LEVEL_TWO,5,331,PK,hi2syed,False,859,565,,10,False,5
LEVEL_TWO,4.8,678,BD,developer480,False,860,876,,85,False,4.8
LEVEL_TWO,5,195,IN,sandra_wiliamz,False,861,262,,80,False,5
LEVEL_TWO,5,194,PK,the_span_tech,False,862,209,,50,False,5
LEVEL_TWO,4.9,109,IN,girdharidev,False,863,210,,35,False,4.9
LEVEL_TWO,5,73,PK,websoftin,False,864,76,,30,False,5
LEVEL_TRS,5,64,GB,ingaland,False,865,90,,500,True,5
LEVEL_TWO,5,51,BD,shorov1999,False,866,78,,35,False,5
LEVEL_TWO,4.9,56,PK,qamar_turner,False,867,65,,40,False,4.9
LEVEL_TWO,4.9,211,PK,trenddev,False,868,329,,50,False,4.9
LEVEL_TWO,4.9,391,PK,usofti,False,869,497,,15,False,4.9
LEVEL_TWO,4.8,113,PK,sarfaraz_dev,False,870,175,,40,False,4.8
LEVEL_TRS,5,156,PK,webguru888,False,871,189,,10,False,5
LEVEL_TRS,5,3760,GB,mijanulkarim,False,872,4889,,20,False,5
LEVEL_TWO,4.9,126,PK,nazishmughal258,False,873,146,,10,False,4.9
LEVEL_TWO,5,15,PK,abuzerfirdousi,False,874,24,,10,False,5
LEVEL_TWO,4.9,83,PK,pro_webdesiner,False,875,122,,100,False,4.9
LEVEL_TWO,4.8,678,BD,developer480,False,876,876,,85,False,4.8
LEVEL_TWO,4.8,310,BD,creative_limon1,False,877,374,,30,False,4.8
LEVEL_TWO,5,3796,PK,zainsaeed100,False,878,7111,,20,False,5
LEVEL_TWO,4.8,17,BD,mosharrof_rimon,False,879,19,,50,False,4.8
LEVEL_TWO,5,87,PK,katemag,False,880,109,,10,False,5
LEVEL_TWO,4.9,133,PK,designbyexpert,False,881,166,,20,False,4.9
LEVEL_TWO,5,103,LK,roger_roys,False,882,134,,50,False,5
LEVEL_TWO,5,95,BD,ehasan28,False,883,114,,30,False,5
LEVEL_TWO,5,284,ID,noviitsource,False,884,342,,50,False,5
