is_fiverr_choice,score,buying_review_rating_count,is_pro,buying_review_rating,seller_country,pos,count,seller_level,price_i,seller_name
False,4.891667,9,False,5,PK,146,46,level_one_seller,90,psdauthor
False,4.924051,328,False,4.9,PK,147,351,top_rated_seller,95,developeratbest
False,4.888889,758,False,4.9,PK,148,868,level_one_seller,195,tanveer__ahmed
False,4.8680553,29,False,4.8,BD,149,107,level_two_seller,30,xlrocky
False,4.8983955,35,True,4.9,IE,150,246,level_two_seller,275,kierandaly
False,4.988506,29,False,5,PK,151,29,level_one_seller,60,toseefkhan492
False,4.9545455,21,False,5,PK,152,22,level_one_seller,90,seoproqueen
False,4.946429,43,False,4.9,PK,153,72,level_one_seller,80,salmananees
False,4.7222223,30,False,4.7,PK,154,30,level_two_seller,80,neuto_designs
False,4.985507,52,False,5,BD,155,69,level_two_seller,100,wordpress_expre
False,4.892857,8,False,5,PK,156,84,level_two_seller,80,dev_mudassir
False,4.9545455,19,False,4.9,PK,157,22,level_one_seller,80,abeeraanwar1
False,4.9419475,505,True,4.9,CZ,158,542,top_rated_seller,250,martin_svec
False,5,19,False,5,PK,159,40,level_two_seller,85,samii_2
False,4.920833,163,False,4.9,PK,160,209,level_two_seller,80,asadmahmood525
False,4.8874893,127,True,4.9,BD,161,418,level_two_seller,350,wix_buddy
False,4.884181,307,False,4.9,BD,162,336,level_two_seller,95,wp_anik
False,4.90625,63,False,4.9,BD,163,71,level_two_seller,80,deloar_dev
False,4.974359,13,False,5,PK,164,13,,80,techhub__
False,5,7,False,5,PK,165,14,level_one_seller,80,sonia_khan02
False,4.8095236,38,False,4.8,PK,166,42,level_two_seller,80,modifiertech
False,4.8965054,337,False,4.9,PK,167,438,level_two_seller,80,adeebakram
False,4.9782944,398,False,5,BD,168,426,top_rated_seller,110,mdnazmul_sobuz
False,4.861111,7,False,4.4,LK,169,63,level_one_seller,10,shendesign1
False,4.8515153,100,False,4.9,PK,170,113,level_two_seller,80,pronoob419
False,4.6846848,37,False,4.7,PK,171,37,level_two_seller,80,hamzajoya
False,4.961163,781,False,5,PK,172,974,level_two_seller,150,jehanzaib_007
False,4.9719625,138,False,4.9,PK,173,440,level_one_seller,110,ahmedriaz648
False,5,10,False,5,PK,174,10,,120,adeelkhan_dev
False,4.8245616,8,False,4.6,PK,175,19,level_one_seller,10,ali_akbar_99
False,4.8834686,122,False,4.9,BD,176,123,level_two_seller,80,webmunni
False,4.9931507,102,True,5,BD,177,593,level_two_seller,150,s_i_tushar
False,5,12,False,5,LK,178,18,level_two_seller,50,hasheemismath
False,5,28,False,5,PK,179,28,level_one_seller,90,hamxa224
False,5,9,False,5,NG,180,13,,10,richard_ay6
False,4.986111,325,False,5,AU,181,374,top_rated_seller,200,farzanasoud
False,4.8422937,213,False,4.8,PK,182,260,level_one_seller,80,umair71
False,4.8323355,133,False,4.8,BD,183,167,level_two_seller,90,sm_techno
False,5,10,False,5,PK,184,10,,80,hatfdeveloper
False,4.880062,227,False,4.9,BD,185,231,level_two_seller,100,techpulse_
False,4.7228913,17,False,4.7,PK,186,131,level_one_seller,30,webhub786
False,4.9112477,812,False,4.9,PK,187,866,level_two_seller,100,fahadmustafa004
False,4.977778,30,False,5,PK,188,30,level_two_seller,80,shahmirnawaz787
False,4.831683,108,False,4.8,PK,189,114,level_two_seller,90,sarfaraz_dev
False,4.918465,219,False,4.9,BD,190,278,top_rated_seller,295,wp_monkey
False,4.94754,141,True,5,IN,191,1665,top_rated_seller,475,massivework
False,5,3,False,5,PK,240,3,,20,majwadalam
False,4.863454,59,False,4.8,PK,241,83,level_two_seller,80,memonabilal251
False,4.788969,119,False,4.8,PK,242,262,level_one_seller,30,netsouls
False,4.8868504,57,False,4.9,IN,243,109,level_two_seller,100,girdharidev
False,4.9895425,361,False,5,PK,244,441,top_rated_seller,180,gramup
False,4.9479165,8,False,5,BD,245,128,level_two_seller,80,tanvir7225
False,4.946554,430,False,4.9,BD,246,556,level_two_seller,80,mosharofhose12
False,4.8371964,258,False,4.8,BD,247,314,level_two_seller,30,creative_limon1
False,4.818182,19,False,4.8,EG,248,19,level_one_seller,85,karimalmoatazb
False,4.9100876,62,False,4.9,NG,249,78,level_two_seller,150,precious0100
False,4.915438,59,False,4.9,IN,250,851,top_rated_seller,110,prashantmardiya
False,4.916211,749,False,4.9,PK,251,948,top_rated_seller,290,abdulwahab1337
False,4.9701047,223,False,5,PK,252,223,level_two_seller,80,mujtabawp
False,4.9305553,36,False,4.9,PK,253,68,level_two_seller,25,muhammadrawjani
False,4.960182,688,False,5,PK,254,722,level_two_seller,80,alizafar96
False,4.875318,1,True,5,AE,255,639,top_rated_seller,995,saifsadi
False,4.933544,820,False,5,PK,256,905,top_rated_seller,100,ibrahimshah361
False,5,7,False,5,PK,257,7,,50,anisha_web
False,5,19,False,5,IN,258,39,level_two_seller,80,shabu121097
False,4.9537573,1021,False,5,PK,259,1045,level_two_seller,90,wordpres_skils
False,4.8679247,46,False,4.8,PK,260,53,level_two_seller,80,malik_019
False,5,121,False,5,IN,261,121,level_two_seller,5,kuldeepjain11
False,4.969697,10,False,5,NG,262,11,,80,web___weaver
False,4.9331503,372,False,4.9,PK,263,378,level_two_seller,10,cryptohacks
False,4.975069,2022,False,5,PK,264,2064,top_rated_seller,80,sarahalee
False,4.9565215,11,False,4.9,PK,265,23,,10,muhammadzaka114
False,4.826389,6,False,5,PK,266,240,level_one_seller,80,maahhuumm
False,4.9469028,106,False,4.9,PK,267,113,level_two_seller,80,mussana
False,4.984277,171,False,5,LK,268,259,level_two_seller,20,mbpcreations
False,4.915018,835,False,4.9,PK,269,905,level_two_seller,85,urwa_pk
False,4.7531447,103,False,4.7,US,270,106,level_two_seller,450,techtitanstudio
False,4.9183674,39,False,4.9,PK,271,49,level_two_seller,80,sarah_ali_1
False,4.935185,121,False,4.9,PK,272,162,level_two_seller,100,wp_awais
False,4.986532,559,False,5,PK,273,665,top_rated_seller,195,m_webs
False,4.953704,3,True,5,GE,274,316,level_one_seller,400,hella_fast
False,4.9333334,25,False,4.9,PK,275,25,level_two_seller,15,devtaha458
False,4.8876405,293,False,4.9,BD,276,492,level_two_seller,15,digitalcode
False,4.75,11,False,4.7,PK,277,12,level_one_seller,80,rabail__abbasi
False,5,10,False,5,PK,278,10,,80,ttechwpsol
False,5,12,False,5,US,279,12,,45,waynebrown00991
False,4.9694443,173,False,5,PK,280,307,level_two_seller,100,siddiqtasks876
False,5,12,False,5,GB,281,12,level_one_seller,90,rajashooter07
False,4.9542336,735,False,5,PK,282,793,top_rated_seller,80,creativ_bird
False,4.8686867,121,False,4.9,BD,283,124,level_two_seller,80,antara1995
False,5,9,False,5,US,284,9,level_one_seller,160,david_kahrs
False,4.9340463,160,False,4.9,PK,285,187,level_two_seller,80,dany_daneal
False,4.8461537,306,False,4.8,PK,286,306,level_one_seller,80,amiemalik
False,4.9692307,119,False,5,MX,287,139,level_one_seller,80,lyssettepineda
False,4.9242425,21,False,4.9,PH,288,22,level_one_seller,50,jambiz123
False,4.943953,319,False,4.9,PK,289,450,top_rated_seller,100,shahzaib_cheema
False,5,3,False,5,PK,290,3,,30,gul_shar_khan
False,4.9618864,3,True,5,PK,291,1283,top_rated_seller,2250,websiterz
False,4.953153,54,False,5,PK,292,553,level_two_seller,100,t82747k
False,4.857143,41,False,5,PK,293,154,level_two_seller,10,anasjutt244
False,4.844282,41,False,4.7,PK,294,163,level_two_seller,10,shehzadkhan453
False,4.9469695,32,False,4.9,NG,295,44,level_one_seller,80,hamidkay1
False,4.904412,67,False,5,PK,296,136,level_one_seller,50,tahirqadeer_007
False,5,10,False,5,NG,297,10,,80,dayo_vic
False,4.880342,34,False,4.9,PK,298,39,level_one_seller,5,sajid_tech1448
False,5,12,False,5,PK,299,12,,50,husnain__1
False,4.946629,283,False,5,PK,300,297,level_two_seller,145,wordpressdemon
False,5,7,False,5,PK,301,22,,30,raja_usama__
False,4.786408,17,False,4.4,LK,302,407,level_two_seller,80,codepanda
False,4.840456,285,False,4.9,BD,303,343,level_two_seller,100,shohag_islam
False,4.85641,47,False,4.8,GB,304,65,level_two_seller,80,sales_go
False,4.888889,27,False,4.9,PK,305,36,level_one_seller,10,zia_khanz
False,4.899311,879,False,4.9,PK,306,1223,top_rated_seller,245,nauman440
False,4.905983,84,False,4.9,PK,307,144,level_one_seller,80,iamshaharyar
False,4.987988,18,False,5,PK,308,160,level_two_seller,120,madlads
False,4.946779,255,True,4.9,BG,309,319,top_rated_seller,595,skodzhamanov
False,4.734694,49,False,4.7,PK,310,52,level_two_seller,80,usama_zaheer23
False,5,5,False,5,PK,311,5,,80,webdot1
False,4.8305087,75,False,4.9,PK,312,118,level_one_seller,50,web_b00sters
False,5,53,False,5,PK,313,54,level_two_seller,100,nexanovaltech
False,5,5,False,5,NG,314,5,,80,daisy_lillian
False,4.857143,16,False,4.8,GB,315,26,level_two_seller,45,tamgamer97
False,4.904762,90,False,4.9,PK,316,95,level_two_seller,100,technotracks
False,4.2,0,False,0,PH,317,5,,100,mindblowingtv
False,5,3,False,5,NG,318,3,,65,sam_creative8
False,4.931973,36,False,4.9,NG,319,49,level_two_seller,80,chinliokafor
False,4.888889,123,True,4.9,IN,320,471,level_two_seller,395,ramani007
False,4.483333,40,False,4.5,PK,321,41,level_one_seller,80,taskeenzahra773
